"","metabolite_name","T_L4_D5_03","T_L4_F7_03","T_L4_M8_03","T_L4_D5_06","T_L4_F7_06","T_L4_M8_06","T_L4_D5_09","T_L4_F7_09","T_L4_M8_09","T_L4_D5_12","T_L4_F7_12","T_L4_M8_12","T_L4_D5_18","T_L4_F7_18","T_L4_M8_18","T_L4_D5_21","T_L4_F7_21","T_L4_M8_21","T_L4_D5_24","T_L4_F7_24","T_L4_M8_24","T_L4_D5_27","T_L4_F7_27","T_L4_M8_27","T_L4_D5_30","T_L4_F7_30","T_L4_M8_30","T_L4_D5_33","T_L4_F7_33","T_L4_M8_33","U_L1_D5_03","U_L1_F7_03","U_L1_M8_03","U_L2_D5_03","U_L2_F7_03","U_L2_M8_03","U_L3_D5_03","U_L3_F7_03","U_L3_M8_03","U_L3_D5_06","U_L3_F7_06","U_L3_M8_06","U_L5_D5_03","U_L5_F7_03","U_L5_M8_03"
"HMDB0000162","L-Proline",11.287,11.428,11.368,11.132,11.359,11.287,11.101,11.354,11.267,11.221,11.308,11.255,11.216,11.374,11.391,11.203,11.466,11.289,11.204,11.51,11.293,11.185,11.449,11.389,11.185,11.449,11.389,11.234,11.473,11.385,15.739,16.321,16.065,19.858,20.363,19.929,0,0,0,0,0,0,24.546,24.474,24.109
"HMDB0000187","L-Serine",7.882,7.518,6.935,7.852,7.43,7.214,7.495,7.275,6.922,7.695,7.328,6.981,7.68,7.424,7.15,7.604,7.584,6.996,7.721,7.613,7.275,7.505,7.032,6.726,7.505,7.032,6.726,7.712,7.423,7.023,0,0,0,0,0,0,22.289,21.878,21.254,22.449,21.607,21.077,18.134,17.597,17.602
"HMDB0000167","L-Threonine",6.301,6.427,6.409,6.616,6.988,7.201,6.884,6.991,7.129,6.354,6.191,6.327,6.191,6.454,6.513,6.347,6.482,6.338,6.231,6.537,6.497,6.24,6.81,6.581,6.24,6.81,6.581,6.364,6.373,6.495,0,0,0,14.112,14.132,14.219,22.088,22.113,22,22.457,22.253,22.216,17.717,17.868,17.144
"HMDB0000929","L-Tryptophan",3.326,3.831,3.98,3.677,3.776,3.77,3.588,3.816,3.671,3.498,3.315,3.198,3.242,3.411,3.377,3.597,3.532,3.341,3.448,3.555,3.333,3.211,3.284,3.282,3.211,3.284,3.282,3.5,3.468,3.706,0,0,0,0,0,0,20.333,20.428,20.474,20.373,20.425,20.375,21.175,21.39,21.274
"HMDB0000158","L-Tyrosine",6.732,6.564,5.986,6.495,6.413,5.614,6.41,6.575,5.935,6.759,6.432,5.861,6.776,6.549,6.046,6.717,6.71,6.121,6.703,6.616,6.06,6.659,6.446,5.707,6.659,6.446,5.707,6.777,6.558,5.777,11.117,11.184,11.039,12.773,12.796,12.472,23.122,22.973,22.308,23.153,23.071,22.27,22.284,22.069,21.719
"HMDB0000883","L-Valine",6.15,6.307,5.983,5.808,5.936,5.706,6.13,6.51,5.837,6.019,6.714,6.349,6.203,6.32,6.281,6.142,6.16,6.163,6.142,6.448,5.788,6.245,6.368,6.067,6.245,6.368,6.067,6.003,6.576,6.041,0,0,0,0,0,0,20.453,21.913,0,21.069,21.11,21.579,0,0,0
"HMDB0000214","L-Ornithine",8.927,8.284,8.314,8.579,8.354,8.289,8.577,8.026,8.223,8.991,7.86,7.638,9.082,8.392,8.387,8.899,7.94,8.361,9.274,8.545,8.196,8.671,8.252,8.511,8.671,8.252,8.511,8.662,8.17,8.134,13.757,13.415,14.093,12.824,12.724,12.629,25.345,24.603,24.641,25.357,24.563,24.508,19.59,18.547,18.83
"HMDB0000222","L-Palmitoylcarnitine",1.384,0.993,1.7,1.526,1.293,1.744,1.55,1.326,1.732,1.379,0.926,1.47,1.39,0.956,1.604,1.384,1.091,1.531,1.444,1.021,1.58,1.39,1.036,1.516,1.39,1.036,1.516,1.459,0.904,1.272,13.971,14.142,14.784,14.059,13.737,14.809,21.729,20.958,21.876,21.654,21.172,21.962,0,0,0
"HMDB0000176","Maleic acid",3.167,3.99,4.055,4.22,4.446,4.199,3.392,4.205,3.993,3.175,3.432,3.209,3.469,3.051,3.018,3.284,3.276,3.465,3.312,3.58,3.302,3.349,3.084,3.133,3.349,3.084,3.133,3.164,3.615,3.636,0,0,0,12.312,11.652,13.247,0,0,0,0,0,0,0,0,0
"HMDB0000202","Methylmalonic acid",6.643,6.896,7.111,6.36,6.816,6.791,6.634,6.976,6.905,6.638,6.821,6.759,6.754,7.134,7.165,6.648,6.96,6.999,6.716,7.038,6.968,6.657,7.043,7.046,6.657,7.043,7.046,6.692,7.023,6.908,11.773,12.293,12.255,17.898,17.534,17.696,0,0,0,0,0,0,0,0,0
