"","metabolite_name","T_L4_D5_03","T_L4_F7_03","T_L4_M8_03","T_L4_D5_06","T_L4_F7_06","T_L4_M8_06","T_L4_D5_09","T_L4_F7_09","T_L4_M8_09","T_L4_D5_12","T_L4_F7_12","T_L4_M8_12","T_L4_D5_18","T_L4_F7_18","T_L4_M8_18","T_L4_D5_21","T_L4_F7_21","T_L4_M8_21","T_L4_D5_24","T_L4_F7_24","T_L4_M8_24","T_L4_D5_27","T_L4_F7_27","T_L4_M8_27","T_L4_D5_30","T_L4_F7_30","T_L4_M8_30","T_L4_D5_33","T_L4_F7_33","T_L4_M8_33","U_L1_D5_03","U_L1_F7_03","U_L1_M8_03","U_L2_D5_03","U_L2_F7_03","U_L2_M8_03","U_L3_D5_03","U_L3_F7_03","U_L3_M8_03","U_L3_D5_06","U_L3_F7_06","U_L3_M8_06","U_L5_D5_03","U_L5_F7_03","U_L5_M8_03"
"HMDB0000122","D-Glucose",6.424,6.751,6.622,6.918,7.09,6.853,7.124,7.327,7.153,6.498,6.528,6.271,6.383,6.43,6.5,6.422,6.49,6.403,6.453,6.542,6.36,6.34,7.728,6.1,6.34,7.728,6.1,6.406,6.533,6.424,0,0,0,0,0,0,16.194,16.888,16.648,0,0,0,0,0,0
"HMDB0001548","D-Ribose 5-phosphate",7.957,8.874,8.53,7.587,8.343,8.606,8.137,8.799,8.75,8.461,8.229,8.534,8.497,8.175,9.007,8.216,8.807,9.422,8.425,8.957,9.116,7.898,9.364,8.635,7.898,9.364,8.635,8.108,8.33,9.215,0,0,0,0,0,0,0,0,0,0,0,0,17.802,17.048,18.303
"HMDB0000098","D-Xylose",2.614,3.119,2.901,2.84,2.939,2.969,2.815,3.229,3.277,2.805,2.918,3.163,2.604,3.048,2.924,2.485,2.995,3.222,2.585,2.915,2.753,3.053,3.666,3.916,3.053,3.666,3.916,2.521,2.828,2.926,0,0,0,11.524,13.039,13.081,0,0,0,0,0,0,0,0,0
"HMDB0001401","D-Glucose 6-phosphate",3.889,5.333,3.808,4.405,5.956,3.989,3.629,5.868,4.104,4.093,5.786,4.428,4.539,6.192,3.893,3.66,5.454,4.575,3.849,4.314,3.773,3.599,7.187,4.734,3.599,7.187,4.734,3.623,5.56,4.542,0,0,0,12.079,11.686,13.048,0,0,0,0,0,0,16.41,17.635,16.948
"HMDB0000626","Deoxycholate",1.577,1.553,1.543,1.476,1.469,1.455,1.505,1.492,1.445,1.521,1.48,1.449,1.546,1.531,1.511,1.524,1.545,1.46,1.544,1.57,1.502,1.513,1.517,1.452,1.557,1.562,1.523,1.518,1.49,1.489,14.35,14.284,14.511,19.716,20.753,20.014,22.895,22.967,22.935,22.885,22.969,22.906,18.056,18.068,18.124
"HMDB0001999","Eicosapentaenoate (EPA; 20:5n3)",1.521,1.84,1.454,1.111,1.551,1.05,0.949,1.683,0.932,1.47,1.655,1.459,1.433,1.692,1.39,1.449,1.891,1.406,1.433,2.018,1.47,1.362,2.17,0.895,1.362,2.17,0.895,1.433,3.022,1.872,13.001,13.492,12.791,15.039,16.444,15.664,20.982,20.784,20.701,20.701,21.201,20.62,0,0,0
"HMDB0000613","Erythronate",2.536,3.853,4.199,1.971,1.996,2.029,2.35,2.381,2.392,2.491,2.459,2.503,2.467,2.496,2.491,2.488,2.506,2.47,2.491,2.438,2.513,2.381,3.457,3.365,2.381,3.457,3.365,2.475,2.506,2.511,0,0,0,0,0,0,21.42,23.05,23.555,21.555,23.073,23.597,0,0,0
"HMDB0000134","Fumarate",3.359,4.066,3.95,3.013,3.906,3.819,3.297,3.962,3.792,3.568,4.138,4.083,3.094,3.529,3.919,3.318,3.282,3.381,3.121,3.941,2.937,3.35,2.913,3.414,3.35,2.913,3.414,3.354,3.57,3.729,0,0,0,14.41,13.772,13.936,17.133,18.106,17.72,17.547,17.824,0,0,0,0
"HMDB0000148","Glutamate",7.978,8.282,8.43,7.587,7.575,7.762,6.941,7.191,7.452,8.27,8.315,8.571,8.157,8.117,8.511,8.288,8.341,8.804,8.273,8.448,9.158,8.34,8.36,8.343,8.34,8.36,8.343,8.156,8.182,8.385,15.771,16.181,16.188,17.138,16.476,17.605,25.834,25.612,25.823,25.845,25.76,25.949,14.498,14.852,15.118
"HMDB0000641","Glutamine",4.323,4.939,3.288,5.195,5.485,5.048,4.852,4.752,4.262,4.453,4.423,4.008,4.32,4.555,4.247,4.255,4.466,3.724,4.438,4.413,4.186,4.745,4.639,3.162,4.745,4.639,3.162,4.398,4.462,3.88,0,0,0,15.506,16.458,16.201,0,0,0,0,0,0,19.756,19.992,19.431
